country,city_slug,category_key,n
CA,castor,electricidad,1
CA,cayley,ingenieria,1
CA,cayuga,ingenieria,1
CA,cedar-park,ingenieria,3
CA,centennial,ingenieria,6
CA,center-valley,ingenieria,1
CA,central-butte,electricidad,4
CA,centreville,ingenieria,1
CA,cerritos,ingenieria,2
CA,chambly,ingenieria,4
CA,champaign,ingenieria,1
CA,champion,ingenieria,2
CA,chandler,ingenieria,5
CA,chantilly,ingenieria,1
CA,chapel-hill,ingenieria,1
CA,chaplin,electricidad,2
CA,charles-town,ingenieria,1
CA,charleston,ingenieria,2
CA,charlie-lake,ingenieria,5
CA,charlotte,ingenieria,2
CA,charlottetown,medicina,36
CA,charlottetown,ingenieria,9
CA,charlton,ingenieria,1
CA,chaska,ingenieria,1
CA,chateauguay,ingenieria,4
CA,chatham,ingenieria,3
CA,chatham,medicina,1
CA,chatham-kent,carpinteria,3
CA,chatswood,ingenieria,1
CA,chauvin,ingenieria,1
CA,chelmsford,ingenieria,3
CA,chelsea,ingenieria,6
CA,cheltenham,ingenieria,1
CA,chemainus,ingenieria,5
CA,chennai,ingenieria,1
CA,chennai-tamilnadu,ingenieria,1
CA,cherhill,ingenieria,1
CA,cherry-grove,ingenieria,3
CA,cherry-grove,hvac,2
CA,cherryville,ingenieria,1
CA,cheshire,ingenieria,1
CA,chester,medicina,14
CA,chester,ingenieria,2
CA,chester-basin,medicina,1
CA,chesterfield,ingenieria,2
CA,chestermere,ingenieria,342
CA,chestermere,hvac,2
CA,cheswick,ingenieria,1
CA,cheticamp,medicina,3
CA,cheverie,medicina,1
CA,cheyenne,ingenieria,2
CA,chia,ingenieria,1
CA,chiangmai,ingenieria,1
CA,chiba,ingenieria,3
CA,chiba-shi,ingenieria,1
CA,chicago,ingenieria,6
CA,chicoutimi,ingenieria,3
CA,chillicothe,ingenieria,1
CA,chilliwack,electricidad,112
CA,chilliwack,ingenieria,27
CA,chilliwack,arquitecto,6
CA,chino,ingenieria,1
CA,chino-hills,ingenieria,2
CA,chipman,ingenieria,1
CA,chitek-lake,electricidad,2
CA,choiceland,electricidad,2
CA,choiceland,hvac,2
CA,christchurch,ingenieria,1
CA,christina-lake,ingenieria,2
CA,christopher-lake,electricidad,7
CA,christopher-lake,hvac,4
CA,chula-vista,ingenieria,1
CA,chur,ingenieria,1
CA,churchbridge,electricidad,1
CA,churchbridge,ingenieria,1
CA,churchill-falls,ingenieria,1
CA,cincinnati,ingenieria,2
CA,city-beach,ingenieria,2
CA,ciudad-de-mexico,ingenieria,1
CA,clairmont,ingenieria,7
CA,clandonald,ingenieria,2
CA,claremont,ingenieria,1
CA,clarence-creek,ingenieria,1
CA,clarenville,medicina,5
CA,claresholm,ingenieria,8
CA,clarkdale,ingenieria,1
CA,clavet,electricidad,8
CA,clavet,hvac,1
CA,clavet,ingenieria,1
CA,clawson,ingenieria,1
CA,clayton,ingenieria,1
CA,clearwater,ingenieria,1
CA,clearwater-river,electricidad,2
CA,cleveland,ingenieria,2
CA,cleveland,medicina,2
CA,clifton,ingenieria,2
CA,clifton-park,ingenieria,2
CA,clinton,ingenieria,1
CA,clive,ingenieria,4
CA,cloverdale,ingenieria,1
CA,clovis,ingenieria,1
CA,clyde,ingenieria,3
CA,coaldale,ingenieria,18
CA,coaldale,electricidad,2
CA,coalhurst,ingenieria,3
CA,cobble-hill,ingenieria,3
CA,cobourg,carpinteria,8
CA,cobourg,ingenieria,3
CA,cochrane,ingenieria,463
CA,cochrane,electricidad,2
CA,codette,hvac,2
CA,codette,electricidad,2
CA,coeur-d-alene,ingenieria,1
CA,coffeyville,ingenieria,1
CA,colby,ingenieria,1
CA,cold-lake,ingenieria,70
CA,cold-lake,hvac,7
CA,cold-lake,electricidad,3
CA,coldbrook,medicina,1
CA,coldstream,ingenieria,15
CA,coldwater,ingenieria,1
CA,cole-harbour,medicina,2
CA,coleman,ingenieria,6
CA,coleville,electricidad,2
CA,coleville,hvac,2
CA,colinet,ingenieria,1
CA,college-station,ingenieria,3
CA,collegeville,ingenieria,1
